geoid,year,n_asian_under_15,n_black_under_15,n_hispanic_under_15,n_native_under_15,n_white_under_15,n_persons_under_18,n_asian_over_60,n_black_over_60,n_hispanic_over_60,n_native_over_60,n_persons_over_60,n_white_over_60,n_asian_over_65,n_black_over_65,n_hispanic_over_65,n_native_over_65,n_white_over_65,n_persons_over_75,n_persons_over_15,n_civilians_over_16,n_civilians_over_18,n_persons_over_25,n_age_5_older,n_asian_age_distribution,n_black_age_distribution,n_hispanic_age_distribution,n_native_age_distribution,n_white_age_distribution,n_asian_persons,n_black_persons,n_chinese_persons,n_labor_force,n_civilians_16_64,n_edu_college_greater,n_cuban_pop,n_poverty_determined_asian,n_poverty_determined_black,n_total_pop_sample,n_female_over_16,n_poverty_determined_families,n_poverty_determined_hispanic,n_disabled,n_housing_units_multiunit_structures_denom,n_poverty_determined_native,n_poverty_determined_persons,n_poverty_determined_white,n_employed_over_16,n_total_families,n_foreign_born_pop,n_female_headed_families,n_filipino_persons,n_female_labor_force,n_german_pop,n_german_born_pop,n_household_recent_move,n_structures_30_old,n_hawaiian_persons,n_total_households,n_asian_households,n_black_households,n_hispanic_households,n_white_households,median_household_income,median_income_asianhh,median_income_blackhh,median_income_hispanichh,median_income_whitehh,n_hispanic_persons,n_edu_hs_less,n_total_housing_units,per_capita_income,n_asian_indian_persons,n_irish_pop,n_irish_born_pop,n_italian_pop,n_italian_born_pop,n_japanese_persons,n_korean_persons,n_limited_english,n_employed_manufacturing,n_married,n_mexican_pop,median_home_value,median_contract_rent,n_housing_units_multiunit_structures,n_recent_immigrant_pop,n_poverty_over_65,n_poverty_asian,n_naturalized_pop,n_poverty_black,n_poverty_families_children,n_nonhisp_black_persons,n_poverty_hispanic,n_nonhisp_white_persons,n_poverty_native,n_poverty_persons,n_native_persons,n_poverty_white,n_occupied_housing_units,n_other_language,n_owner_occupied_housing_units,p_recent_immigrant_pop,p_household_recent_move,p_asian_under_15,p_black_under_15,p_hispanic_under_15,p_native_under_15,p_white_under_15,p_persons_under_18,p_structures_30_old,p_persons_over_60,p_asian_over_65,p_black_over_65,p_hispanic_over_65,p_native_over_65,p_poverty_rate_over_65,p_white_over_65,p_persons_over_75,p_poverty_rate_asian,p_asian_persons,p_poverty_rate_black,p_chinese_persons,p_edu_college_greater,p_cuban_pop,p_foreign_born_pop,p_female_headed_families,p_filipino_persons,p_female_labor_force,p_poverty_rate_children,p_german_pop,p_german_born_pop,p_hawaiian_persons,p_hispanic_persons,p_poverty_rate_hispanic,p_edu_hs_less,p_asian_indian_persons,p_irish_pop,p_irish_born_pop,p_italian_pop,p_italian_born_pop,p_japanese_persons,p_korean_persons,p_limited_english,p_employed_manufacturing,p_married,p_mexican_pop,p_housing_units_multiunit_structures,p_poverty_rate_native,p_naturalized_pop,p_nonhisp_black_persons,p_nonhisp_white_persons,p_native_persons,p_other_language,n_total_pop,p_owner_occupied_units,p_poverty_rate,p_puerto_rican_pop,p_employed_professional,n_puerto_rican_pop,n_employed_professional,p_russian_pop,p_russian_born_pop,p_scandanavian_pop,p_scandanavian_born_pop,p_employed_self_employed,p_unemployment_rate,p_vacant_housing_units,p_veterans,p_vietnamese_persons,p_widowed_divorced,p_poverty_rate_white,n_renter_occupied_housing_units,n_russian_pop,n_russian_born_pop,n_scandaniavian_pop,n_scandaniavian_born_pop,n_employed_self_employed,n_unemployed_persons,n_vacant_housing_units,n_veterans,n_vietnamese_persons,n_widowed_divorced,n_white_persons,n_total_housing_units_sample,p_white_over_60,p_black_over_60,p_hispanic_over_60,p_native_over_60,p_asian_over_60,p_disabled
6073000100,2000,5.081876732,0.027292244,43.64591646,5.009097415,425.5185527,562.5283657,11.20924054,0.100071564,42.80057251,0.027292244,735.7047949,679.5039363,,,,,,325.9384651,2558.441175,,2445.177351,2332.98559,2896.360014,48.98252082,8.028007865,231.7845247,8.163753465,2699.892468,59.14627433,,16.17285089,1466.680366,1913.482369,1570.258306,7.045487076,13.80057251,1.237248421,,1279.71604,877.4926918,229.1295109,252.3387513,1369.200349,8.063681908,3019.996118,2766.919045,1430.825209,877.9384651,317.9930496,33.32750693,18.59133196,608.8307276,320.5738528,10.20014313,596.2709818,1242.894409,1.03638966,1310.245121,7.463968158,0.263825029,78.74670362,1230.051928,115932.6639,89227.97016,18682.49868,81324.20465,123793.881,231.7845247,346.0042939,1369.200349,80993.21845,2.090974152,314.5283657,0,255.3282226,27.06368191,25.1182664,3.063681908,12.62772161,111.6550139,,172.002147,816749.1,1482.037431,36.31646824,38.50945526,26.65501386,0.163753465,219.7376063,0.691403568,6.136461228,13.20085883,0.864254415,2699.892468,0,152.9755704,31.30021471,150.8376778,1310.681796,389.384954,1122.601861,1.264434098,45.50835353,0.166860273,0.000896124,1.433086618,0.164470609,13.97163797,18.47027027,90.77520393,24.15641101,,,,,0.882617488,,10.70198751,0.005422307,1.942031263,0.022894187,0.531025536,67.30681547,0.231334202,10.44110472,3.796109665,0.610434863,,0.699317645,10.52584379,0.334915378,0.034029212,7.610501226,0.028617733,14.83096575,0.06865584,10.32734397,0,8.383543955,0.888619223,0.824742711,0.100594097,0.414623413,7.803539747,,5.647583903,2.65238526,0,7.214948126,0.433442019,88.64929599,1.027723152,12.78521365,3045.588166,95.72607814,5.06542275,0.069551964,69.87722246,2.118266396,999.8209143,2.535117565,0.262675042,3.629106894,0.197006282,29.19361469,2.444646963,4.273921833,12.72432422,0.03432792,15.26838824,4.994631513,188.079936,77.20924054,8,110.5276501,6,417.7095984,35.85515702,58.51855266,387.5305128,1.045487076,390.6327314,,1369.200349,22.31109064,0.003285788,1.405330274,0.000896124,0.368048466,8.285386518
6073000201,2000,2.862298489,4.007217884,38.92726135,0.858689547,126.2273636,203.7956543,6.869516373,2.57606864,16.02887154,0,336.8925171,307.4108582,,,,,,169.7342987,1539.916626,,1502.99292,1415.120361,1644.676758,46.083004,28.33675575,184.6182556,5.15213728,1399.377686,62.11187744,,14.88395214,1077.655396,1242.810059,753.6431885,3.434758186,51.23514175,19.17740059,,765.3786011,343.4758301,192.9189148,153.9916534,964.8807983,5.15213728,1682.172822,1370.182251,1063.916382,341.7584534,182.3284149,31.19905281,18.31871033,510.0615845,181.1834869,7.15574646,676.9335938,684.3755493,0.858689547,929.1021118,11.73542404,16.31510162,70.98500061,803.1609497,67296.72435,52501.31697,106590.397,63614.58415,66680.04677,184.6182556,278.7878723,964.8807983,51661.75613,3.720988035,191.7740021,0,178.8936615,22.32592773,12.59411335,6.297056675,40.35840988,86.15518188,,135.6729431,471822.0592,989.1707901,457.6815186,84.72403717,16.8875618,4.293447495,64.40171814,0,6.869516373,36.06496048,16.02887154,1399.377686,0,110.198494,13.45280266,89.01748657,927.6709595,265.9075317,396.4283447,4.946524174,72.85890164,0.167112299,0.233957219,2.272727383,0.05013369,7.369652419,11.89839583,70.92850749,19.66911677,,,,,1.003913604,,9.909759258,0.255232247,3.626336911,0,0.868983957,53.25647268,0.200534759,10.64505354,9.128977645,1.069518716,,1.999999933,10.57820812,0.417780762,0.05013369,10.77874349,0.952867109,19.70064738,0.217245989,11.19652426,0,10.44451906,1.303475907,0.735294117,0.367647059,2.356283491,8.097927933,,7.921122686,47.43399593,0,3.760026862,2.105614945,81.70120056,0.785427793,15.52473274,1712.799416,96.14358179,6.550961504,0.401069519,54.15657413,6.869516373,576.1806641,1.620989318,0.785427793,5.899064295,0.300802139,16.06133993,1.274900381,3.856422565,11.99866307,0.150401069,25.07434802,5.291815764,531.2426147,27.76429558,13.45280266,101.0391388,5.15213728,170.8792267,13.73903275,37.20988083,205.513031,2.57606864,386.124054,,964.8807983,17.94786099,0.150401069,0.935828877,0,0.401069519,8.9906414
6073000202,2000,7.137701511,9.992782593,97.07273865,2.141310453,314.772644,508.2043457,17.13048363,6.423931122,39.97113037,0,840.1074829,766.5891724,,,,,,423.265686,3840.083496,,3748.00708,3528.879639,4101.323242,114.9169922,70.66324615,460.3817444,12.84786224,3489.622314,154.8881226,,37.11604691,2687.344727,3099.189941,1879.356812,8.565241814,127.7648544,47.82260132,,1908.621338,856.5241699,481.0810852,384.0083313,2406.119141,12.84786224,4194.827178,3416.817627,2653.08374,852.2415771,454.6716003,77.8009491,45.68128967,1271.938354,451.8164978,17.84425354,1688.066406,1706.62439,2.141310453,2316.897949,29.26457596,40.68489838,177.0149994,2002.838989,67296.72486,52501.31848,106590.3992,63614.58175,66680.04808,460.3817444,695.2120972,2406.119141,51661.75562,9.279011726,478.2260132,0,446.1063538,55.67407227,31.4058876,15.7029438,100.6415939,214.8448181,,338.3270569,471822.066,989.1707843,1141.318481,211.2759705,42.1124382,10.70655251,160.5982819,0,17.13048363,89.93503571,39.97113037,3489.622314,0,274.8015137,33.54719543,221.9825134,2313.329102,663.0924683,988.5716553,4.9465242,72.858902,0.167112299,0.23395723,2.272727228,0.05013369,7.369652579,11.89839568,70.92850728,19.669118,,,,,1.003913544,,9.90975904,0.255232267,3.626336894,0,0.868983935,53.25647243,0.200534759,10.64505381,9.128978354,1.069518717,,2.000000027,10.57820837,0.417780743,0.05013369,10.77874324,0.952867155,19.70064633,0.217245984,11.19652434,0,10.44451894,1.303475947,0.73529414,0.36764707,2.356283483,8.097928266,,7.921123119,47.43399699,0,3.760026689,2.105614895,81.70120427,0.785427768,15.52473257,4271.200584,96.14358086,6.550961507,0.401069519,54.1565769,17.13048363,1436.819336,1.620989255,0.785427768,5.899064121,0.300802128,16.06133957,1.274900347,3.856422627,11.9986624,0.150401064,25.07434842,5.291815467,1324.757446,69.23570251,33.54719543,251.9608612,12.84786224,426.1207886,34.26096725,92.79012299,512.4869385,6.423931122,962.8759155,,2406.119141,17.94786167,0.150401064,0.935828922,0,0.401069519,8.990641478
6073000300,2000,5,5,32,0,136,201,21,19,45,9,1020,918,,,,,,496,4217,,4141,3822,4342,178,102,447,28,3593,218,,40,2875,3308,1769,7,184,140,,2073,621,406,444,2928,57,4344,3490,2725,592,683,45,58,1350,652,58,2291,1710,5,2729,112,40,252,2219,51657.61803,33816.94297,56977.34282,60357.35469,50894.70107,447,759,2928,50858.83155,19,487,0,254,16,48,21,39,187,,327,382838.0783,976.7544484,2439,243,96,11,387,21,31,116,38,3593,9,534,48,439,2783,714,709,5.465587045,83.9501649,0.112460639,0.112460639,0.719748088,0,3.058929375,4.520917679,58.40163934,22.94197031,,,,,2.209944751,,11.15609537,0.253222836,4.903283851,0.483425414,0.89968511,46.28466771,0.157444894,15.36212326,7.601351351,1.30454341,,4.99194847,14.6648673,1.30454341,0.112460639,10.05398111,0.874769797,19.85871272,0.427350427,10.95366622,0,5.71300045,0.359874044,1.079622132,0.472334683,0.877192982,6.862385321,,7.354925776,83.29918033,0.20718232,8.704453441,2.60908682,80.81421502,1.079622132,16.05937922,4446,95.04781421,12.29281768,0.427350427,57.02752294,19,1554,1.776878093,0.449842555,3.531264058,0.382366172,10.34862385,5.217391304,4.952185792,12.55060729,0.337381916,24.11667062,10.10589319,2074,79,20,157,17,282,150,145,558,15,1017,,2928,20.64777328,0.427350427,1.012145749,0.20242915,0.472334683,9.986504723
6073000400,2000,8,33,41,0,85,217,16,21,35,0,473,397,,,,,,219,3447,,3315,2986,3469,220,164,419,15,2545,265,,69,2634,2894,1486,7,220,96,,1530,339,400,463,2213,35,3344,2479,2464,363,437,29,65,1163,382,7,1895,1118,2,2201,125,79,204,1694,50654.65125,45822.31825,53136.54567,54494.0688,50072.46145,419,529,2213,43609.05101,12,269,0,273,0,50,36,42,219,,285,326136.6548,1009.864769,1930,177,19,75,211,0,7,178,68,2545,9,585,33,437,2136,555,229,5.106751298,86.09722853,0.230813618,0.952106174,1.182919792,0,2.452394691,6.260819388,50.51965657,13.64685516,,,,,0.568181818,,6.318522793,2.242822967,7.645701096,0,1.990767455,49.76557267,0.201961916,12.60819388,7.988980716,1.875360646,,2.064896755,11.02135026,0.201961916,0.057703405,12.08886324,2.033492823,17.71600804,0.346220427,7.761107905,0,7.876514714,0,1.442585113,1.038661281,1.211771495,8.887987013,,8.222735141,87.21192951,0.269138756,6.087709175,5.135603001,73.42758223,0.952106174,16.01269475,3466,96.52056033,17.49401914,0.519330641,53.53084416,18,1319,2.221581073,0,4.039238315,0.317368725,9.537337662,6.454062263,3.479439675,13.58915176,0.577034045,22.74441543,13.06818182,1907,77,0,140,11,235,170,77,471,20,784,,2213,11.45412579,0.605885747,1.009809579,0,0.461627236,13.35833814
6073000500,2000,4,12,63,0,115,225,8,4,26,2,383,337,,,,,,156,2561,,2528,2380,2644,107,87,360,11,2113,139,,38,1987,2241,1167,1,81,84,,1265,471,355,423,1729,0,2756,2123,1948,456,219,58,35,938,393,35,1363,1206,5,1667,49,45,146,1356,58923.95374,56218.56465,29316.42942,46216.48873,59868.97746,360,490,1729,51570.70344,7,268,0,209,6,26,10,18,125,,287,408912.4555,851.2111507,956,70,12,0,79,25,21,101,81,2113,0,297,32,191,1662,325,559,2.539912917,81.76364727,0.145137881,0.435413643,2.285921626,0,4.172714078,8.164005806,69.75130133,13.8969521,,,,,0.435413643,,5.660377358,0,5.043541364,0.907111756,1.378809869,49.03361345,0.03628447,7.946298984,12.71929825,1.269956459,,4.458598726,14.25979681,1.269956459,0.181422351,13.06240929,2.93904209,20.58823529,0.253991292,9.724238026,0,7.583454282,0.217706821,0.943396226,0.362844702,0.653120464,6.416837782,,10.41364296,55.29207634,0,2.866473149,3.664731495,76.66908563,1.161103048,11.79245283,2756,96.1249277,10.77648766,0.435413643,56.8788501,12,1108,1.777939042,0,4.753265602,0.145137881,13.7063655,1.962757927,3.875072296,12.04644412,0.399129173,21.82741117,6.930333817,1103,49,0,131,4,267,39,67,332,11,559,,1729,12.22786647,0.145137881,0.943396226,0.07256894,0.290275762,15.34833091
6073000600,2000,4,5,58,1,116,232,14,7,42,1,425,354,,,,,,182,2779,,2695,2469,2835,136,80,414,11,2240,162,,35,1983,2375,1246,5,183,38,,1261,370,410,434,1922,33,2956,2235,1902,393,429,44,56,888,347,34,1527,1023,1,1835,91,26,183,1487,49786.88493,72198.89284,48285.88375,49550.9739,50151.09846,414,403,1922,39097.76987,13,280,0,200,5,32,14,54,100,,310,264054.8043,876.0438909,1414,112,55,30,235,0,12,98,99,2240,0,416,27,266,1844,488,554,3.779952751,83.21525886,0.134998313,0.168747891,1.957475532,0.033749578,3.914951063,7.829902126,53.22580645,14.34357071,,,,,1.860622463,,6.14242322,1.01488498,5.467431657,0,1.181235235,50.46577562,0.168747891,14.47856902,11.19592875,1.889976375,,3.243243243,11.71110361,1.147485656,0.033749578,13.97232535,3.349120433,16.32239773,0.438744516,9.449881876,0,6.749915626,0.168747891,1.0799865,0.472494094,1.822477219,5.257623554,,10.46236922,73.56919875,0,7.931150861,3.307458657,75.59905501,0.91123861,16.46979413,2963,95.94172737,14.07307172,0.742490719,55.6256572,22,1058,2.429969625,0.337495781,4.319946001,0.236247047,11.61934805,4.084720121,4.058272633,11.94735066,0.269996625,23.92947103,8.99864682,1290,72,10,128,7,221,81,78,354,8,665,,1922,11.94735066,0.236247047,1.417482281,0.033749578,0.472494094,14.64731691
6073000700,2000,1,5.000112012,30.00175486,0,93.0008961,153.0041071,10.00324835,11.00100811,61.00212823,3.000074675,654.0218424,560.0146363,,,,,,307.0085503,3146.062727,,3117.061756,2898.055782,3195.064146,135.006086,79.00436848,406.0109025,16.0002987,2666.041669,174.0067207,,33.00063474,2210.028638,2553.042229,1347.014674,13.00018669,92.0066834,111.0036217,,1398.029011,396.008737,331.0106412,354.0109772,2343.046746,24,3283.065116,2588.041519,2092.026995,411.0072061,398.0162418,22.00063474,80.0039951,895.0111639,389.0066461,21.00026136,1766.039802,1529.032484,3,2238.043759,59.00504055,43.00294966,199.0048912,1818.029646,48463.34555,35446.64288,62725.74972,46668.35195,48732.45958,406.0109025,613.0235972,2343.046746,46921.10303,17.00033604,350.0055259,0,208.0039204,0.000709411,33.00052272,13.00048539,53.00765417,175.0023149,,260.0086623,334413.949,893.9708886,1677.04712,114.0082516,53.00328569,39.00093344,213.0067581,6.000672073,10.00112012,93.00481653,39.0054886,2666.041669,16,356.0166525,49.00082142,257.0079155,2291.044917,404.0171752,519.0037337,3.339368766,78.9099764,0.029290588,0.146456223,0.878769051,0,2.724050964,4.481580317,65.2583004,19.15668456,,,,,1.614445155,,8.992461068,1.187942732,5.096759227,0.182776517,0.966608008,46.47994295,0.380783117,11.6581299,5.352858639,2.343364087,,2.525479664,11.39423354,0.615110011,0.087871765,11.89229821,1.188081479,21.15292608,0.497949845,10.25186778,0,6.092557208,2.08E-05,0.966604726,0.380791866,1.552625378,8.365203476,,7.615806696,71.57548704,0.487349457,6.239093268,2.724165796,78.08992906,1.435262889,11.83390077,3414.065938,97.78058935,10.84403263,1.054474304,58.41270504,36.00044805,1222.009558,1.903913397,4.37E-06,4.071472711,0.908014801,13.14532255,5.339371661,2.219410672,13.97200217,0.263621857,27.40006592,7.828291746,1772.041183,65.00085876,0.00014935,139.002763,31.00022402,275.0036964,118.0016428,52.00182953,477.0133668,9.000224024,862.0232612,,2343.046746,16.40315818,0.322226,1.786788227,0.087873952,0.29300103,10.36918981
6073000800,2000,14,34,125,0,139,385,29,29,69,1,702,556,,,,,,276,4017,,3848,3536,4232,231,251,699,30,2841,292,,54,2650,3286,1406,9,255,251,,1861,715,787,539,2582,35,4329,2876,2538,664,778,88,120,1230,443,8,2041,1322,3,2532,120,122,326,1865,49349.55279,41962.73231,35639.121,48630.78292,49723.42349,699,745,2582,34895.51839,8,446,19,163,9,29,21,71,167,,513,256467.0225,849.831554,1773,294,83,45,325,44,20,299,109,2841,0,550,53,339,2466,956,711,6.970128023,80.60821485,0.331910858,0.806069227,2.963489806,0,3.295400664,9.127548601,51.20061967,16.64295875,,,,,1.917301917,,6.543385491,1.03950104,6.922712186,1.016401016,1.280227596,39.76244344,0.213371266,18.44476055,13.25301205,2.844950213,,2.797202797,10.50260787,0.189663348,0.071123755,16.57183499,2.517902518,21.06900452,0.189663348,10.57373163,0.45045045,3.864390706,0.213371266,0.687529635,0.497866287,1.68326221,6.57998424,,12.16216216,68.66769946,0,7.705073495,7.088667615,67.3541963,1.256519678,22.66477003,4218,95.50735864,12.70501271,0.521574206,49.17257683,22,1248,1.612138454,0,3.888098625,0.237079184,11.38691883,4.226415094,4.492641363,17.54385965,0.972024656,26.48742843,7.830907831,1755,68,0,164,10,289,112,116,740,41,1064,,2582,13.18160266,0.687529635,1.635846373,0.023707918,0.687529635,12.77856804
6073000900,2000,55,174,423,1,128,929,52,38,79,5,767,578,,,,,,326,4776,,4593,4046,5344,358,701,1584,34,2692,425,,74,3281,3962,982,11,319,828,,2261,932,1562,1087,3118,56,5572,2654,3029,922,1253,236,192,1410,414,20,2738,1763,6,3035,139,363,604,1840,33791.84104,33800.11862,31715.54804,31903.17319,34992.09015,1584,1526,3118,23871.16133,10,316,0,273,16,46,24,486,147,,1242,183486.3582,798.7864769,2567,590,85,55,444,217,167,779,524,2692,5,1100,71,263,3033,1917,312,10.54701466,90.21416804,0.983196282,3.110475509,7.561673221,0.017876296,2.288165892,16.60707901,56.54265555,13.71111906,,,,,1.525484566,,5.827672506,0.987078248,7.597425813,3.894472362,1.322845906,24.27088482,0.196639256,22.39899893,25.59652928,3.432248838,,17.91845494,7.400786557,0.357525921,0.107257776,28.31605291,9.404163676,37.71626298,0.17876296,5.648909546,0,4.880228817,0.286020737,0.822309617,0.429031105,8.687879871,4.853086827,,22.20235967,82.32841565,0.089734386,7.937075438,13.92563461,48.12298892,1.269217018,34.26885949,5594,97.27389352,19.74156497,1.340722202,35.16011885,75,1065,1.412227386,0.643546657,1.644619235,0.250268144,5.348299769,7.680585187,2.726106479,13.26421166,0.786557025,26.61222781,4.720028715,2721,79,36,92,14,162,252,85,742,44,1271,,3118,10.33249911,0.679299249,1.412227386,0.08938148,0.929567394,19.43153379
6073001000,2000,26,82,335,1,178,743,21,17,52,1,418,314,,,,,,150,4329,,4163,3636,4718,217,424,1329,23,2732,278,,50,3237,3890,1110,12,192,463,,2061,891,1326,744,2665,27,4913,2756,3095,885,912,175,109,1515,422,0,2193,1675,5,2579,117,211,448,1707,48437.63938,52597.12337,40571.17912,48183.79359,49684.79478,1329,1217,2665,28321.74021,16,446,7,235,8,36,18,226,207,,1041,238394.306,824.9988138,1803,251,36,11,413,93,73,518,258,2732,14,583,53,213,2589,1368,526,5.072756669,85.03295851,0.525464834,1.657235247,6.770412288,0.020210186,3.597413096,15.01616815,62.85178236,8.44785772,,,,,0.732749847,,3.03152789,0.223895787,5.61843169,1.892937106,1.010509297,30.52805281,0.242522231,18.43168957,19.7740113,2.202910267,,8.193041526,8.528698464,0,0.10105093,26.85933711,5.251373906,33.47084708,0.323362975,9.013742926,0.141471302,4.749393694,0.161681487,0.727566694,0.363783347,4.567502021,6.688206785,,21.03880356,67.65478424,0.284958274,8.346806791,10.46887631,55.21422797,1.071139854,27.64753436,4948,97.14821764,11.86647669,1.354082458,36.41357027,67,1127,0.828617623,0,2.890056589,0,10.69466882,4.386777881,2.851782364,10.00404204,0.586095392,24.39362439,4.335436597,2063,41,0,143,0,331,142,76,495,29,1056,,2665,6.345998383,0.343573161,1.050929669,0.020210186,0.424413905,15.03637833
6073001100,2000,20,61,185,5,120,456,8,28,31,2,314,242,,,,,,127,2691,,2608,2297,2937,145,336,759,21,1747,175,,23,1973,2426,635,8,118,311,,1332,589,734,489,1763,30,3084,1726,1851,581,606,121,56,1001,238,8,1406,1083,6,1671,60,151,263,1084,43873.93357,42077.6987,54379.56228,33124.11625,47865.10676,759,724,1763,28817.01542,4,188,0,85,0,30,11,105,115,,568,205146.0261,852.5907473,1205,237,7,20,193,68,63,379,190,1747,13,541,28,225,1672,761,351,7.6377699,84.14123279,0.644537544,1.96583951,5.961972285,0.161134386,3.867225266,14.69545601,61.42938174,10.11923945,,,,,0.226977951,,4.092813406,0.648508431,5.639703513,2.204928664,0.741218176,27.64475403,0.257815018,19.52948759,20.82616179,1.804705124,,10.69609508,7.669996777,0.257815018,0.193361263,24.46019981,6.160830091,31.5193731,0.128907509,6.058652917,0,2.739284563,0,0.966806316,0.354495649,3.383822108,6.212857915,,18.30486626,68.34940442,0.42153048,6.219787303,12.21398646,56.3003545,0.902352562,24.52465356,3103,94.83834373,17.54215305,0.837898808,38.51971907,26,713,0.934579439,0,3.70609088,0,12.80388979,6.183476939,5.161656268,11.11827264,0.837898808,24.89780751,7.295719844,1321,29,0,115,0,237,122,91,345,26,670,,1763,7.798904286,0.902352562,0.999033194,0.064453754,0.257815018,15.75894296
6073001200,2000,43,231,443,5,200,1082,27,40,68,3,463,311,,,,,,168,4689,,4482,3809,5255,274,1118,1579,33,2397,323,,43,3205,4253,866,4,241,1098,,2337,1145,1547,1052,2931,52,5612,2361,3027,1104,1297,302,132,1545,305,7,2558,1715,9,2830,101,592,535,1497,37589.8707,51734.87544,39370.93001,33034.44247,39615.11862,1579,1609,2931,21714.85172,6,282,0,147,19,54,8,389,162,,1311,189280.6643,783.6109134,2450,594,43,18,311,299,156,1233,328,2397,12,1132,65,357,2823,1773,339,10.53004786,90.38869258,0.762276192,4.095018614,7.853217515,0.088636767,3.545470661,19.18099628,58.51245309,8.207764581,,,,,0.766215253,,2.978195355,0.320741269,5.725935118,5.327868852,0.762276192,22.73562615,0.070909413,22.99237724,27.35507246,2.340010636,,13.62445415,5.406842758,0.124091473,0.15954618,27.99149087,5.844618674,42.24205828,0.10636412,4.999113632,0,2.605920936,0.336819713,0.957277079,0.141818826,6.895940436,5.351833499,,23.24056018,83.5892187,0.213827512,5.513206878,21.85782663,42.49246587,1.152277965,31.43059741,5641,96.31525077,20.17106201,0.726821486,31.51635282,41,954,1.595461798,0,1.542279738,0,8.093822266,5.553822153,3.684749232,9.324587839,0.726821486,24.12028151,6.361368496,2484,90,0,87,0,245,178,108,526,41,1131,,2931,5.513206878,0.709094132,1.205460025,0.05318206,0.478638539,18.64917568
6073001300,2000,45,235,530,2,136,1098,31,58,83,3,685,505,,,,,,307,5134,,4942,4215,5735,337,1035,1914,37,2555,392,,55,3586,4491,781,5,386,1009,,2462,1182,1931,893,3151,7,6052,2576,3342,1140,1522,295,166,1607,528,29,2662,1959,2,3078,164,498,673,1657,38675.61329,57483.19494,41797.64057,39063.27995,37389.82918,1914,1729,3151,23084.79122,14,315,0,165,0,44,30,521,243,,1568,188039.0273,815.341637,2507,688,64,40,465,276,168,1125,456,2555,0,1152,56,359,3068,2077,356,11.33816744,86.48473034,0.741595254,3.872775214,8.7343441,0.032959789,2.241265656,18.09492419,62.17073945,11.28872775,,,,,1.057501652,,5.05932762,0.660938533,6.460118655,4.560475876,0.906394199,18.52906287,0.082399473,25.08239947,25.87719298,2.735662492,,14.21319797,8.701384311,0.477916941,0.032959789,31.54251813,7.534699273,41.02016607,0.230718523,5.191166777,0,2.719182597,0,0.725115359,0.494396836,8.586025049,7.271095153,,25.84047462,79.5620438,0,7.663150956,18.53988134,42.10613052,0.922874094,34.22874094,6068,97.36591558,19.03502974,1.021753461,24.86535009,62,831,1.071193144,0,1.153592617,0,6.403351287,6.804238706,2.634084418,10.44825313,1.23599209,21.91273861,5.931923331,2712,65,0,70,0,214,244,83,634,75,1125,,3151,8.322346737,0.955833883,1.367831246,0.049439684,0.51087673,14.71654581
6073001400,2000,17,47,210,1,124,502,25,8,54,1,393,297,,,,,,137,2825,,2759,2487,3123,159,241,786,16,1924,202,,51,1960,2492,802,5,134,225,,1297,633,788,489,1717,10,3271,1813,1870,626,586,107,69,820,364,12,1285,1227,3,1647,72,115,279,1080,51848.00237,30609.8013,30491.84579,48810.13049,56029.55991,786,797,1717,32430.17912,4,189,0,171,42,31,19,147,138,,617,294819.8102,849.831554,807,195,7,25,242,38,48,296,113,1924,5,396,50,152,1646,871,582,5.939689309,78.02064359,0.517819068,1.431617423,6.396588486,0.030459945,3.777033201,15.29089248,71.46185207,11.97075845,,,,,0.214001834,,4.173012489,0.764292265,6.152908925,1.161724243,1.553457204,32.24768798,0.152299726,17.84952787,17.09265176,2.101736217,,7.582938389,11.08742004,0.365519342,0.091379836,23.94151691,3.454601039,32.04664254,0.121839781,5.756929638,0,5.208650624,1.279317697,0.9442583,0.578738958,4.47761194,7.379679144,,18.79378617,47.00058241,0.152858453,7.371306732,9.016143771,58.60493451,1.522997259,26.53061224,3283,95.86488061,12.10638948,1.218397807,41.4973262,40,776,0.791958574,0,3.441973804,0.152299726,11.4973262,4.591836735,4.135119394,14.10295461,0.639658849,19.85840708,4.646896973,1064,26,0,113,5,215,90,71,463,21,561,,1717,9.046603716,0.243679561,1.644837039,0.030459945,0.761498629,14.89491319
